Dataset,Seed,n_classes,total_eps,flat_LR_bal_acc,flat_LR_auprc,flat_LR_MIA,flat_LR_MIA_rf,flat_LR_AIA,flat_RF_bal_acc,flat_RF_MIA_rf,dpgbc_bal_acc,dpgbc_mlp_bal_acc,dpgbc_MIA,dpgbc_MIA_rf,dpgbc_AIA,boundary_rate,MIA_positive_control,dplc_bal_acc,dplc_auprc,dplc_MIA,dplc_MIA_rf,dplc_mean_radius,class_collapse
Banknote,42,2,3.0,0.9202400553606795,0.9771806751122226,0.48504753236245957,0.480736751618123,0.016990291262135915,0.5128379507003603,0.480736751618123,0.7705872527262749,0.8645095091512158,0.5217372067152104,0.5136744033171521,-0.03398058252427183,0.6,0.607153873381877,0.881451786097788,0.9570454679115065,0.4942531351132686,0.5136744033171521,0.7794519791593396,0
Banknote,123,2,3.0,0.6672512945331328,0.7437820478496917,0.476099817961165,0.48575798948220067,0.32281553398058255,0.5575321545326557,0.48575798948220067,0.8362445414847162,0.8596535185052616,0.5153557342233009,0.5064054915048544,0.3300970873786408,0.625,0.5906641889158575,0.8580070155343975,0.8818153656724437,0.49572714401294504,0.5064054915048544,0.754628684067624,0
Banknote,456,2,3.0,0.5343260075882311,0.5399303517597115,0.4828162924757282,0.20260669498381875,0.03398058252427183,0.5278831698761544,0.20260669498381875,0.7372873266995967,0.8536044097644785,0.4971518507281553,0.5093269619741101,0.20873786407766987,0.8571428571428571,0.567894164644013,0.8481757224330064,0.8844216918532797,0.4918651395631068,0.5093269619741101,0.7898610116434304,0
Banknote,789,2,3.0,0.6601283795070036,0.8493370096400408,0.47856366302588993,0.5491327872168286,0.08980582524271846,0.6679194406662372,0.5491327872168286,0.9339131887274202,0.9399384351063068,0.5355329692556634,0.5186981694983819,-0.03398058252427183,0.6,0.5992225424757283,0.9322666857565562,0.9821546142306757,0.47996182241100327,0.5186981694983819,0.7796111126012758,0
Banknote,101,2,3.0,0.6431980337413797,0.7891455403158572,0.4857327063106796,0.5815255865695792,0.13592233009708737,0.5323812250936597,0.5815255865695792,0.7045123726346434,0.8481876536139548,0.502146541262136,0.4991429004854369,0.30825242718446605,0.8,0.5573713086569579,0.8449185100341232,0.9380550127440777,0.48778317152103556,0.4991429004854369,0.7551109511702967,0
Ionosphere,42,2,3.0,0.47329721362229105,0.4499525649793505,0.4928378898729303,0.61817481709665,0.0,0.5,0.61817481709665,0.7554179566563468,0.4907120743034056,0.48001540238737,0.45186753946861763,-0.6037735849056605,1.0,0.6615710435117443,0.6273219814241486,0.6534441598255871,0.5380824027724297,0.45186753946861763,2.8006419168706826,0
Ionosphere,123,2,3.0,0.5715944272445821,0.710284581310782,0.5374470542934154,0.7284944166345784,0.0,0.5526315789473684,0.7284944166345784,0.6563467492260062,0.6420278637770898,0.49982672314208704,0.47685791297651137,-0.6698113207547169,0.2,0.7139391605698884,0.7410990712074303,0.7748955510237625,0.5259337697343088,0.47685791297651137,2.7963497042546432,0
Ionosphere,456,2,3.0,0.3595201238390093,0.34832958356523547,0.5153253754331921,0.8499422410473623,0.0,0.5131578947368421,0.8499422410473623,0.6164860681114551,0.673374613003096,0.5483827493261455,0.47073546399691946,-0.4056603773584906,0.3333333333333333,0.707662687716596,0.6617647058823529,0.570257293245717,0.5056603773584905,0.47073546399691946,2.7956755349309614,0
Ionosphere,789,2,3.0,0.48684210526315785,0.34534654554111555,0.503484790142472,0.8188294185598768,0.0,0.47639318885448917,0.8188294185598768,0.5,0.5975232198142415,0.5430111667308433,0.5443011166730843,-0.6415094339622642,0.75,0.637639584135541,0.603328173374613,0.5548540257745771,0.5154216403542549,0.5443011166730843,2.8195353248876858,0
Ionosphere,101,2,3.0,0.41021671826625383,0.33783843768697774,0.5376973430881786,0.9317289179822874,0.0,0.46904024767801855,0.9317289179822874,0.5847523219814241,0.5913312693498453,0.5309973045822102,0.5747785906815556,-0.339622641509434,0.8571428571428571,0.6719484020023103,0.6722136222910217,0.6955380234901427,0.5056218713900655,0.5747785906815556,2.791818660436802,0
Sonar,42,2,3.0,0.4543610547667343,0.4768911488522647,0.49600437876299946,0.9995621237000547,-0.14285714285714285,0.4629817444219067,0.9995621237000547,0.5588235294117647,0.513184584178499,0.5159277504105091,0.4492610837438423,-0.9365079365079365,0.6666666666666666,0.8379857690202518,0.5,0.7041350078931348,0.458128078817734,0.4492610837438423,3.8164281554663972,0
Sonar,123,2,3.0,0.4802231237322515,0.514103471173432,0.44794745484400655,0.9998905309250138,-0.06349206349206349,0.5,0.9998905309250138,0.4817444219066937,0.5294117647058824,0.49589490968801314,0.47345374931581824,-0.6666666666666667,0.8571428571428571,0.9062944718117133,0.5,0.630913282562448,0.43032293377120967,0.47345374931581824,3.808331324734529,0
Sonar,456,2,3.0,0.3904665314401623,0.4706213188954828,0.5237000547345375,1.0,-0.2222222222222222,0.5289046653144016,1.0,0.712474645030426,0.5,0.5260536398467432,0.569567597153804,-0.5396825396825398,0.6,0.8189928845101259,0.5126774847870182,0.6674644077380351,0.49020251778872465,0.569567597153804,3.8297728980426924,0
Sonar,789,2,3.0,0.5248478701825557,0.6959786229126563,0.4673234811165846,0.9995621237000548,-0.06349206349206349,0.6039553752535497,0.9995621237000548,0.5,0.5294117647058824,0.468144499178982,0.4762452107279694,-0.9682539682539683,0.5,0.8359058565955118,0.5,0.6122874163982189,0.49085933223864264,0.4762452107279694,3.820083887202137,0
Sonar,101,2,3.0,0.4579107505070994,0.4887759574886914,0.4702791461412151,0.999671592775041,-0.031746031746031744,0.38843813387423937,0.999671592775041,0.5684584178498986,0.460446247464503,0.524904214559387,0.5043240284619595,-0.7936507936507937,0.8,0.8485495347564312,0.5248478701825557,0.7209954851163942,0.43316912972085386,0.5043240284619595,3.828752091735063,0
Wine,42,3,3.0,0.2740740740740741,0.36366505296218393,0.5857228195937874,0.996415770609319,,0.3412698412698412,0.996415770609319,0.30476190476190473,0.3164021164021164,0.4581093189964158,0.49507168458781364,,1.0,0.6445639187574672,0.35767195767195764,0.5077509613858074,0.498805256869773,0.49507168458781364,1.645091540394424,0
Wine,123,3,3.0,0.6089947089947089,0.6214187634518159,0.505973715651135,0.9864097968936678,,0.3322751322751323,0.9864097968936678,0.17724867724867724,0.10158730158730157,0.5522700119474313,0.5577956989247312,,1.0,0.6999701314217444,0.12010582010582009,0.31856498263599636,0.576015531660693,0.5577956989247312,1.6464709720068373,0
Wine,456,3,3.0,0.6121693121693123,0.6978426066005289,0.5201612903225806,0.9890979689366787,,0.3978835978835979,0.9890979689366787,0.48571428571428577,0.7825396825396825,0.4501941457586619,0.5179211469534051,,1.0,0.6368727598566308,0.5142857142857142,0.5660183109421255,0.46953405017921146,0.5179211469534051,1.658489680188769,0
Wine,789,3,3.0,0.4936507936507937,0.676293708894789,0.4647550776583035,0.9790919952210275,,0.5671957671957671,0.9790919952210275,0.7502645502645503,0.5439153439153439,0.4951463560334528,0.48566308243727596,,0.75,0.7005675029868579,0.42063492063492064,0.6283868710153846,0.4746117084826762,0.48566308243727596,1.651005910214801,0
Wine,101,3,3.0,0.42857142857142855,0.6178927192393386,0.5654121863799284,0.9268219832735962,,0.4444444444444444,0.9268219832735962,0.7714285714285715,0.5656084656084657,0.5282258064516129,0.482078853046595,,0.8333333333333334,0.6407556750298685,0.7185185185185184,0.7823919445438342,0.5603345280764636,0.482078853046595,1.6959837499958417,0
WisconsinOriginal,42,2,3.0,0.7702589807852966,0.8413130787476658,0.548290641902235,0.7723594244310644,-0.004878048780487809,0.4112886382623224,0.7723594244310644,0.8631474519632414,0.7974624060150376,0.4983569752015512,0.4841667517093581,0.09268292682926826,0.6,0.513542198183488,0.7835735171261486,0.9483927942724693,0.4972854372895193,0.4841667517093581,1.3521502755155317,0
WisconsinOriginal,123,2,3.0,0.8327589807852966,0.983175283424667,0.5332329829574447,0.530594958669252,0.004878048780487809,0.5500730994152047,0.530594958669252,0.8692564745196324,0.9022034252297411,0.5357587508929483,0.5320440861312379,-0.014634146341463428,0.3333333333333333,0.5588019185631187,0.8674812030075187,0.9631292844637307,0.4867486478212062,0.5320440861312379,1.3504794222306435,0
WisconsinOriginal,456,2,3.0,0.8706662489557226,0.9694611872941122,0.5163486070007144,0.5807888560057148,0.009756097560975618,0.5833333333333334,0.5807888560057148,0.7879594820384294,0.9320175438596491,0.5195887335442392,0.49838759057046633,-0.04878048780487804,0.5714285714285714,0.5487804878048781,0.9155179615705932,0.9586070228562835,0.507725278089601,0.49838759057046633,1.347945551855156,0
WisconsinOriginal,789,2,3.0,0.8781850459482038,0.9727376475445877,0.5151035819981631,0.4081589958158996,0.0,0.5416666666666666,0.4081589958158996,0.8747389306599833,0.8700918964076858,0.519752015511787,0.5197979385651598,-0.08780487804878051,0.4,0.5662924788243698,0.8700918964076858,0.9474121950054427,0.5304316767017042,0.5197979385651598,1.3743284498302872,0
WisconsinOriginal,101,2,3.0,0.6597222222222222,0.9247146343456264,0.4928360036738443,0.49739769364220837,0.0,0.554406850459482,0.49739769364220837,0.8145363408521302,0.8498329156223893,0.4966016940504133,0.505975099499949,-0.11707317073170737,0.5,0.571042963567711,0.8530179615705932,0.8938318378628638,0.5251964486172058,0.505975099499949,1.355269712928535,0
Waveform,42,3,3.0,0.33983151299635933,0.5003084510396608,0.499460380952381,0.33738628571428575,,0.3348044196088393,0.33738628571428575,0.6273971297942595,0.41622216577766485,0.5106479047619046,0.4960001904761905,,1.0,0.8266195238095239,0.6797000677334689,0.7404490334093442,0.5115815238095238,0.4960001904761905,3.0804011092225867,0
Waveform,123,3,3.0,0.33456629413258826,0.5074552584210641,0.49744152380952383,0.3871986666666667,,0.3404400558801117,0.3871986666666667,0.6026003302006604,0.5992083650833968,0.5095186666666666,0.5113148571428572,,0.875,0.830972,0.6549614765896199,0.7695418768778031,0.49095447619047616,0.5113148571428572,3.0741701687695278,0
