TOTAL_EPS,Dataset,Seed,util_gap,mia_gap,class_collapse,dplc_util_gap,dplc_mia_gap
3.0,Sonar,789,-0.11308316430020282,-0.4632731253420909,0,0.009127789046653123,-0.4632731253420909
3.0,Sonar,101,0.049695740365111596,-0.4806787082649152,0,0.042089249492900604,-0.4806787082649152
3.0,Wine,42,0.39259259259259255,-0.4492234169653525,0,0.3068783068783069,-0.4492234169653525
3.0,Wine,123,-0.183068783068783,-0.41532258064516125,0,-0.06349206349206338,-0.41532258064516125
3.0,Wine,456,-0.030687830687830764,-0.4141278375149343,0,-0.00793650793650802,-0.4141278375149343
3.0,Wine,789,-0.005291005291005291,-0.44713261648745517,0,0.18359788359788354,-0.44713261648745517
3.0,Wine,101,0.3968253968253969,-0.30092592592592593,0,0.12380952380952387,-0.30092592592592593
3.0,WisconsinOriginal,42,-0.03472222222222232,-0.265981222573732,0,0.0063700918964075814,-0.265981222573732
3.0,WisconsinOriginal,123,0.07090643274853792,-0.01935401571588946,0,0.12124060150375926,-0.01935401571588946
3.0,WisconsinOriginal,456,0.038220551378446155,-0.05948566180222464,0,0.05007309941520466,-0.05948566180222464
3.0,WisconsinOriginal,789,-0.003446115288220475,-0.08326870088784571,0,0.002036340852130336,-0.08326870088784571
3.0,WisconsinOriginal,101,0.14844402673350043,0.01688947851821604,0,0.18692564745196327,0.01688947851821604
3.0,Waveform,42,0.19314621962577255,-0.19618266666666673,0,0.3788205909745153,-0.19618266666666673
3.0,Waveform,123,0.09737215307763947,-0.1799465555555556,0,0.26953687240707813,-0.1799465555555556
3.0,Waveform,456,0.14302874439082214,-0.25214111111111115,0,0.056255820844975046,-0.25214111111111115
3.0,Waveform,789,0.1962048090762848,-0.32253711111111094,0,0.09408602150537632,-0.32253711111111094
3.0,Waveform,101,0.24116819066971468,0.0017311111111110167,0,0.16916963000592666,0.0017311111111110167
3.0,Vehicle,42,0.07421875,-0.4390196052351565,0,0.0,-0.4390196052351565
3.0,Vehicle,123,0.11538461538461542,-0.4507907267503724,0,0.0,-0.4507907267503724
3.0,Vehicle,456,0.0,-0.4071876995105341,0,0.0,-0.4071876995105341
3.0,Vehicle,789,0.0,-0.09017543626303481,0,0.0,-0.09017543626303481
3.0,Vehicle,101,-0.020973557692307687,-0.08463236858906159,0,-0.020973557692307687,-0.08463236858906159
3.0,Segment,42,0.2236652236652237,-0.3773618328349312,0,0.24675324675324675,-0.3773618328349312
3.0,Segment,123,0.1544011544011544,-0.10959850291946771,0,0.23953823953823952,-0.10959850291946771
3.0,Segment,456,0.24675324675324675,-0.3985727046951536,0,0.3520923520923521,-0.3985727046951536
3.0,Segment,789,0.12987012987012986,0.005898279553196106,0,0.10822510822510817,0.005898279553196106
3.0,Segment,101,0.2554112554112553,-0.3087612586684943,0,0.25396825396825395,-0.3087612586684943
3.0,Spambase,42,0.06300842469604329,-0.126156770456191,0,0.025644151029587503,-0.126156770456191
3.0,Spambase,123,0.0,-0.07355298093169205,0,0.0,-0.07355298093169205
3.0,Spambase,456,-0.003207577834001052,0.01075211199613807,0,-0.003207577834001052,0.01075211199613807
3.0,Spambase,789,0.0,-0.046195751870625135,0,0.0,-0.046195751870625135
3.0,Spambase,101,0.0,-0.22424800868935546,0,0.0,-0.22424800868935546
3.0,WineQuality,42,0.04797456107268491,-0.29699376068376077,0,0.08468980788148309,-0.29699376068376077
3.0,WineQuality,123,0.06640199204080816,-0.3877296581196581,0,0.035017007538924144,-0.3877296581196581
3.0,WineQuality,456,-0.016068858531272184,-0.03648470085470085,0,-0.05697264832697117,-0.03648470085470085
3.0,WineQuality,789,-0.01978363750701881,-0.11574598290598281,0,-0.14085785664902647,-0.11574598290598281
3.0,WineQuality,101,0.07286581962001264,-0.37028658119658114,0,0.1371485741235446,-0.37028658119658114
8.0,BreastCancer,42,0.1524532710280374,-0.3699785477093069,0,0.35645443925233644,-0.3699785477093069
