Dataset,Seed,sampling_mode,marginal_ks,marginal_wasserstein,correlation_mae,tstr_acc,trtr_acc,tstr_minus_trtr,bal_acc,mia_rf
MAGIC04,123,gaussian,0.491952380952381,0.2202630885567523,0.2858501383606964,0.7459804984628631,0.7653155293477423,-0.0193350308848792,0.7459804984628631,0.4891462301587301
MAGIC04,456,uniform,0.4346666666666666,0.2209998740191017,0.2838228497712118,0.7096110657618473,0.7625174120867295,-0.052906346324882225,0.7096110657618473,0.5083083333333334
MAGIC04,456,gaussian,0.4815952380952381,0.20242330055517077,0.2848825216384215,0.7153291341268777,0.7625174120867295,-0.04718827795985181,0.7153291341268777,0.498718253968254
MAGIC04,789,uniform,0.45566666666666666,0.2236266561720524,0.293569298474528,0.743251420379553,0.7734824579571713,-0.030231037577618247,0.743251420379553,0.5053897486772486
MAGIC04,789,gaussian,0.524,0.21561792068155383,0.30516093334047967,0.7273906845843638,0.7734824579571713,-0.046091773372807454,0.7273906845843638,0.5048454365079365
MAGIC04,101,uniform,0.4779715124916363,0.2452404057789055,0.2730590487259663,0.7217761749858875,0.7634677160621677,-0.04169154107628015,0.7217761749858875,0.5009702380952381
MAGIC04,101,gaussian,0.5541875786751949,0.23656435059217812,0.2728934432747555,0.747172439560261,0.7634677160621677,-0.016295276501906653,0.747172439560261,0.5008974206349206
Banknote,42,uniform,0.2826121794871795,0.1462641368043145,0.4386325347936646,0.881451786097788,0.9683346457632376,-0.08688285966544962,0.881451786097788,0.5136744033171521
Banknote,42,gaussian,0.37110511954261954,0.13766151925074085,0.42139157347471373,0.8147922781396902,0.9683346457632376,-0.15354236762354734,0.8147922781396902,0.48924201051779936
Banknote,123,uniform,0.22786458333333334,0.10538843170728422,0.3859285119062909,0.8580070155343975,0.988534135108693,-0.13052711957429552,0.8580070155343975,0.5064054915048544
Banknote,123,gaussian,0.2953125,0.10123779020762216,0.3646703442835116,0.8831579449733935,0.988534135108693,-0.10537619013529953,0.8831579449733935,0.49398386933656957
Banknote,456,uniform,0.22630208333333335,0.11568096302648856,0.4341263109984961,0.8481757224330064,0.967236977115995,-0.11906125468298856,0.8481757224330064,0.5093269619741101
Banknote,456,gaussian,0.3197916666666667,0.11795461966295517,0.4201323190276031,0.8661918056649247,0.967236977115995,-0.10104517145107028,0.8661918056649247,0.4873672633495145
Banknote,789,uniform,0.2656409881200139,0.1373908842808557,0.45563478472859,0.9322666857565562,0.9683346457632376,-0.03606796000668133,0.9322666857565562,0.5186981694983819
Banknote,789,gaussian,0.352756460284426,0.13162406075811137,0.45263632707662804,0.9257045362349965,0.9683346457632376,-0.04263010952824109,0.9257045362349965,0.49129121156957933
Banknote,101,uniform,0.22806200034758428,0.11374345309729901,0.4450552994750761,0.8449185100341232,0.9732502923139332,-0.12833178227981,0.8449185100341232,0.4991429004854369
Banknote,101,gaussian,0.2770029544664581,0.10722031029677387,0.44951549578839683,0.8225475457560789,0.9732502923139332,-0.15070274655785432,0.8225475457560789,0.49406603964401297
